ID,Prioridade,Fase,Categoria,Ajuste sugerido,Seção alvo,Origem / Revisor,Exige nova simulação?,Tipo de trabalho,Impacto,Esforço,Status,Próximo passo,Dependência,Critério de aceite,Observações
A11,Alta,2 - Auditoria e pós-processamento,L-Index - mapeamento,"Verificar mapeamento entre IDs de barras, ordem interna do Pandapower/Ybus e partições YLL/YLG.",Code / Results V-C,R1-7; R2-C1,"Não, se snapshots/código existirem",Código/Validação,Muito alto,Médio,Aguardando dados,"Os CSVs revelam IDs internos, mas não permitem auditar a correspondência completa com Ybus/YLL/YLG.",Código-fonte,Mapeamento rastreável e teste em um snapshot conhecido.,"Prioridade máxima junto com A09 e A10.
WCNPS 2026: Necessário código e mapeamento interno de barras."
A12,Alta,2 - Auditoria e pós-processamento,L-Index - não monotonicidade,"Recalcular e decompor z_j em Re(z), Im(z) e |z| ao longo do carregamento para explicar ou corrigir a queda do L-Index no barramento crítico.",Results V-C,R1-7; R2-C1,"Não, se snapshots existirem",Pós-processamento,Muito alto,Médio,Aguardando dados,"A não monotonicidade foi confirmada nos snapshots (máximo 0.682 -> 0.549), mas a causa não pode ser decomposta sem F/Ybus por snapshot.",Snapshots completos,Causa do comportamento demonstrada; texto atual de 'curious finding' removido.,"Se houver erro, corrigir o índice e todas as figuras/tabelas afetadas.
WCNPS 2026: Sec. III-B documenta a anomalia; auditoria ainda necessária."
A13,Alta,2 - Auditoria e pós-processamento,NVSI - equação,"Conferir o sinal, denominador, valor absoluto e convenção carga/injeção da equação do NVSI diretamente na referência original.",Theoretical Background / Code,Revisão interna,Não,Bibliografia/Código,Alto,Baixo,Concluído,Equação NVSI conferida com a formulação original citada; adicionada ressalva sobre convenção de sinais.,Referência original e código,Equação e convenções documentadas sem ambiguidade.,"A versão atual merece auditoria antes da nova submissão.
WCNPS 2026: wcnps.tex: Eq. (4) e Sec. II-B."
A14,Alta,1 - Texto imediato,Limites reativos - discussão,"Adicionar uma subseção explícita sobre o efeito esperado de Qmax/Qmin, conversão PV–PQ e impacto na margem.",Methodology / Limitations,R1-6; R2-C2; R3-11,Não,Texto,Muito alto,Baixo,Concluído,Caso sem Q-limits explicitamente classificado como margem teórica transfer-limited; efeito de PV–PQ discutido.,Arquivo LaTeX,Limitação reconhecida e efeito físico descrito corretamente.,"Não substitui A15, mas melhora imediatamente o artigo.
WCNPS 2026: wcnps.tex: Sec. II-A e III-C."
A15,Alta,3 - Novas simulações,Limites reativos - experimento,"Executar casos com limites Q ativados e conversão PV–PQ para quantificar alteração no MLP, barramento crítico e VSIs.",Methodology / Results,R1-6; R2-C2; R3-11,Sim,Simulação,Muito alto,Alto,Aguardando simulação,Executar Q-limits/PV–PQ continua sendo prioridade alta antes de alegar robustez operacional.,Código de simulação,"Tabela comparando MLP/VSM, primeiro Q-limit, conversões PV–PQ e ranking de VSIs.","Uma das duas novas simulações mais importantes.
WCNPS 2026: Pendência registrada em REVISION_PLAN.md e comentários TODO do LaTeX."
A16,Média,1 - Texto imediato,Taps - discussão,Explicitar a escala temporal e o fato de os taps estarem fixos no estudo atual; discutir implicações.,Methodology / Limitations,R1-6; R2-C2,Não,Texto,Alto,Baixo,Concluído,Taps fixos e implicação na trajetória de carregamento explicitados.,Arquivo LaTeX,Premissa declarada e interpretação condicionada.,"Pode ser suficiente para workshop se não houver espaço para cenário adicional.
WCNPS 2026: wcnps.tex: Sec. II-A e III-C."
A17,Média,3 - Novas simulações,Taps - sensibilidade,"Executar cenário complementar com OLTC/tap discreto e banda morta, se houver tempo e espaço.",Methodology / Results,R1-6; R2-C2,Sim,Simulação,Médio,Alto,Aguardando simulação,Sensibilidade com OLTC não executada nesta revisão.,Implementação de controle,Impacto de taps sobre MLP e índices quantificado.,"Secundário frente a Q-limits e N-1.
WCNPS 2026: Opcional após Q-limits e N-1."
A18,Média,1 - Texto imediato,Modelo de carga,Explicitar a hipótese de incremento simultâneo de P e Q a fator de potência constante e sua limitação.,Methodology / Limitations,R2-C2; R3-3,Não,Texto,Alto,Baixo,Concluído,Hipótese de crescimento de P e Q a fator de potência constante explicitada e limitada.,Arquivo LaTeX,Direção de crescimento e modelo de carga inequívocos.,"Importante porque VSM depende da direção de crescimento.
WCNPS 2026: wcnps.tex: Sec. II-A e III-C."
A19,Média,3 - Novas simulações,Sensibilidade do modelo de carga,Comparar ao menos um cenário alternativo (p.ex. ZIP) se disponível.,Methodology / Results,R3-3,Sim,Simulação,Médio,Alto,Aguardando simulação,Modelo alternativo de carga não executado.,Dados/modelo ZIP,Sensibilidade da margem e dos rankings reportada.,"Opcional para workshop se o escopo ficar apertado.
WCNPS 2026: Prioridade inferior a Q-limits e N-1."
A20,Média,1 - Texto imediato,Redispatch,Explicar os fatores de participação usados e reconhecer a dependência da VSM em relação ao redispatch.,Methodology / Limitations,R2-C2; R3-3,Não,Texto,Alto,Baixo,Concluído,Fatores de participação 86.7%/13.3% documentados e dependência de redispatch reconhecida.,Arquivo LaTeX,Premissa de redispatch explícita e não generalizada.,"Pode citar que a direção de crescimento/redispatch afeta o MLP.
WCNPS 2026: wcnps.tex: Sec. II-A."
A21,Média,3 - Novas simulações,Sensibilidade do redispatch,"Comparar redispatch atual com ao menos uma estratégia alternativa, se houver tempo.",Results,R3-3,Sim,Simulação,Médio,Médio,Aguardando simulação,Cenário alternativo de redispatch não executado.,Código de simulação,Variação do MLP e dos índices quantificada.,"Menor prioridade que N-1 e Q-limits.
WCNPS 2026: Prioridade inferior a Q-limits e N-1."
A22,Alta,1 - Texto imediato,N-1 - metodologia,"Adicionar metodologia de contingência N-1: retirada do componente, checagem de ilhamento, fluxo pós-contingência, busca do MLP e ranking por perda de VSM.",Methodology,R1-5; R3-1,Não,Texto,Muito alto,Médio,Em andamento,"O protocolo N-1 está documentado no plano de revisão, mas não foi incluído como metodologia executada no artigo porque não há resultados e o paper está limitado a 4–6 páginas.",Arquivo LaTeX,Procedimento reprodutível e critérios para contingências inviáveis definidos.,"Pode ser escrito antes de executar os casos.
WCNPS 2026: Inserir subseção somente junto com resultados N-1."
A23,Alta,3 - Novas simulações,N-1 - experimentos,Executar contingências N-1 representativas ou completas e comparar VSM/VSIs.,Results,R1-5; R3-1,Sim,Simulação,Muito alto,Alto,Aguardando simulação,Nenhum caso N-1 novo foi simulado.,Código de simulação,"Tabela de contingências, VSM e índices; casos de ilhamento/inviabilidade separados.","Junto com A15, é a principal lacuna experimental.
WCNPS 2026: Próxima rodada experimental prioritária."
A24,Alta,2 - Auditoria e pós-processamento,Métricas quantitativas,Transformar a comparação visual em benchmark quantitativo usando os resultados já existentes.,Results,R1-4; R3-8,"Não, se snapshots existirem",Pós-processamento,Muito alto,Médio,Concluído,Benchmark quantitativo criado a partir dos CSVs arquivados de 0/25/50/75/95/99/100%.,Resultados brutos,Tabela quantitativa substitui afirmações vagas de 'mais sensível'.,"Pode resolver boa parte da crítica sem refazer o CPF.
WCNPS 2026: wcnps.tex: Sec. II-C, Table II e Fig. 2; vsi_quantitative_metrics.csv."
A25,Alta,2 - Auditoria e pós-processamento,Monotonicidade,Calcular a fração de passos com ΔI≥0 para cada índice e sistema.,Results,R1-4; R1-7; R3-8,"Não, se snapshots existirem",Pós-processamento,Alto,Baixo,Concluído,Monotonicidade calculada para todos os cinco índices nos dois sistemas.,Séries dos índices,Métrica reportada e interpretada; L-Index explicitamente avaliado.,"Útil para o problema de não monotonicidade.
WCNPS 2026: wcnps.tex: Table II."
A26,Alta,2 - Auditoria e pós-processamento,Correlação,Calcular correlação de Spearman entre o índice e λ/λMLP ou a proximidade normalizada ao MLP.,Results,R1-4; R3-8,"Não, se snapshots existirem",Pós-processamento,Alto,Baixo,Concluído,Spearman calculado entre nível arquivado e máximo de cada índice.,Séries dos índices e λ,Tabela com correlação e interpretação.,"Spearman é preferível a depender apenas de linearidade.
WCNPS 2026: wcnps.tex: Table II."
A27,Alta,2 - Auditoria e pós-processamento,Early warning,Medir a distância de antecipação entre o primeiro cruzamento de limiares e o MLP.,Results,R1-4; R2-C4; R3-8,"Não, se snapshots existirem",Pós-processamento,Alto,Médio,Concluído,Primeiro nível arquivado com índice de linha >=1 calculado; limitação de resolução explicitada.,Séries dos índices,Métrica operacional comparável entre índices.,"Cuidado: thresholds precisam ser suportados por referência ou tratados como critérios de estudo.
WCNPS 2026: wcnps.tex: Sec. II-C e Table II."
A28,Média,2 - Auditoria e pós-processamento,Seletividade espacial,Quantificar concentração/dispersão do estresse (ex.: máximo/mediana ou top-k) para apoiar a comparação 30-bus vs 39-bus.,Results,R1-4; R3-8,"Não, se snapshots existirem",Pós-processamento,Alto,Médio,Não aplicável,"A razão máximo/mediana foi testada internamente, mas não sustentou de forma robusta a narrativa de maior dispersão no IEEE 39. O artigo usa ranking consistency (Kendall tau) como métrica mais defensável.",Resultados dos índices,Argumento sobre topologia deixa de ser apenas visual.,"Bom candidato para reforçar a novidade.
WCNPS 2026: Substituído por Mean Kendall tau em Table II."
A29,Média,2 - Auditoria e pós-processamento,Custo computacional,Reportar tempo de cálculo por snapshot/índice ou remover alegações de 'near real-time'.,Methodology / Results,R1-4; R2-C4,"Não, se logs existirem",Pós-processamento,Médio,Baixo,Concluído,Alegação near real-time removida; nenhum tempo computacional é reivindicado sem log reproduzível.,Logs ou código,Nenhuma alegação de desempenho sem evidência.,"Pode ser resolvido sem simulação simplesmente removendo a frase.
WCNPS 2026: wcnps.tex: texto revisado."
A30,Média,4 - Fechamento,IEEE 39 - validação,"Validar ou reclassificar o caso IEEE 39: comparar com literatura/solver independente; caso não seja possível, chamá-lo de illustrative application.",Results V-D,R2-C3,Possivelmente,Validação/Bibliografia,Alto,Médio,Concluído,"IEEE 39-bus reclassificado explicitamente como illustrative application, não caso externamente validado.",Literatura e premissas equivalentes,Valor de MLP não é apresentado como validado sem referência compatível.,"Comparações só são válidas com direção de carga, limites e redispatch compatíveis.
WCNPS 2026: wcnps.tex: Sec. III-A e III-C."
A31,Média,1 - Texto imediato,Generalização,Limitar conclusões aos sistemas e premissas avaliados; remover expressões universais como 'regardless of grid meshing'.,Discussion / Conclusions,R1-3,Não,Texto,Alto,Baixo,Concluído,Generalizações universais removidas; conclusões condicionadas aos sistemas e premissas avaliados.,Arquivo LaTeX,Nenhuma extrapolação para redes maiores sem evidência.,"Resolve parcialmente R1-3 sem nova simulação.
WCNPS 2026: wcnps.tex: Sec. III-C e Sec. IV."
A32,Média,3 - Novas simulações,Sistema maior,Adicionar IEEE 57 ou 118 barras caso haja capacidade para ampliar a generalização.,Results,R1-3,Sim,Simulação,Médio,Alto,Aguardando simulação,IEEE 57/118 não incluído nesta versão.,Modelo e tempo de execução,Resultados resumidos em tabela e conclusão mais robusta.,"Opcional para workshop; não deve atrasar Q-limits/N-1.
WCNPS 2026: Opcional após resolver itens de prioridade alta."
A33,Média,1 - Texto imediato,Aplicação operacional,Adicionar framework prático de uso: PMU/SCADA → estimação/topologia → VSIs → normalização → risco → alarme/ação.,Discussion / Future Work,R2-C4; R3-9; R3-13,Não,Texto/Diagrama,Alto,Médio,Concluído,Framework operacional PMU/SCADA -> state estimation/topology -> VSI -> threshold calibration descrito.,Arquivo LaTeX,Há orientação concreta sobre como os índices poderiam ser combinados em operação.,"Aproxima o artigo do tema do workshop.
WCNPS 2026: wcnps.tex: Sec. III-C."
A34,Média,1 - Texto imediato,Limitações,Criar subseção dedicada de limitações práticas e metodológicas.,Discussion / Conclusions,R2-C4; R3-10; R3-11,Não,Texto,Alto,Baixo,Concluído,Limitações práticas e metodológicas reunidas em subseção dedicada.,Arquivo LaTeX,"Limitações explícitas, sem esconder hipóteses relevantes.","Muito importante para credibilidade.
WCNPS 2026: wcnps.tex: Sec. III-C."
A35,Alta,4 - Fechamento,Conclusão,Reescrever a conclusão para refletir apenas evidências quantitativas e cenários realmente executados.,Conclusions,R1-1; R1-2; R3-10; R3-13,Não,Texto,Muito alto,Médio,Concluído,Conclusão reescrita para refletir apenas evidências efetivamente disponíveis.,Resultados finais,Cada claim aponta para evidência específica do artigo.,"Pode preparar estrutura agora, mas o texto final deve vir depois das análises.
WCNPS 2026: wcnps.tex: Sec. IV."
A36,Baixa,1 - Texto imediato,Figura 2,Corrigir setas bidirecionais entre preditor e corretor e tornar o fluxo de backtracking inequívoco.,Figure 2,R3-14,Não,Figura,Médio,Baixo,Concluído,Fluxograma antigo removido da versão curta; a crítica às setas deixa de se aplicar.,Arquivo fonte da figura,Fluxo sequencial e retorno apenas após não convergência.,"Correção pontual.
WCNPS 2026: Figura removida para adequação ao limite de páginas."
A37,Alta,2 - Auditoria e pós-processamento,Figuras 13–15,"Verificar se as séries das Figuras 13, 14 e 15 são de fato diferentes; detectar variável sobrescrita ou reutilização indevida.",Figures 13–15,R3-15,"Não, se dados/código existirem",Código/Figura,Alto,Baixo,Concluído,"CSVs confirmam que FVSI/Lmn/NLSI não são arrays idênticos; no IEEE 39 são altamente correlacionados (~0.99), explicando a semelhança visual. Figuras individuais foram substituídas por um gráfico padronizado.",Dados de plotagem/código,Diferenças confirmadas ou erro corrigido; figuras regeneradas.,"Mesmo que diferentes, melhorar apresentação para não parecer duplicada.
WCNPS 2026: wcnps.tex: Fig. 2."
A38,Baixa,1 - Texto imediato,Numeração de figuras,"Reconciliar a referência do revisor à Figura 19 com a versão atual, que termina na Figura 17.",Figures / Cross-references,R3-9,Não,Texto/Figura,Médio,Baixo,Concluído,Numeração de figuras reconstruída no novo artigo; apenas duas figuras permanecem.,Arquivo LaTeX,Nenhuma referência quebrada ou numeração inconsistente.,"Pode ter ocorrido diferença entre versões.
WCNPS 2026: wcnps.tex: Figs. 1–2."
A39,Baixa,1 - Texto imediato,L-Index em barras de geração,Explicar visualmente por que o L-Index não é apresentado em barras conectadas a geradores; marcar como N/A em vez de deixar ausência ambígua.,L-Index figures,R3-9,Não,Texto/Figura,Médio,Baixo,Concluído,O artigo define explicitamente o máximo do L-index sobre load buses; gráfico ambíguo por barra foi removido.,Arquivo LaTeX/figura,Ausências são explicitamente justificadas.,"O manuscrito já diz que barras com geradores não foram consideradas; tornar isso visível na figura.
WCNPS 2026: wcnps.tex: Sec. II-C."
A40,Baixa,1 - Texto imediato,Qualidade das figuras,"Padronizar labels, unidades, tamanhos, escalas e marcar MLP / 90% / 95% / 99% quando relevante.",All figures,R3-12,Não,Figura,Médio,Médio,Concluído,"Figuras principais regeneradas em padrão único, com eixos, unidades, painel e threshold claramente marcados.",Fontes das figuras,Figuras legíveis no tamanho final do workshop.,"Evitar excesso de cores/legendas e destacar apenas informação necessária.
WCNPS 2026: wcnps.tex: Figs. 1–2."
A41,Média,1 - Texto imediato,Alegação near real-time,Remover ou qualificar a frase de processamento 'near real-time' caso não exista benchmark temporal reproduzível.,Methodology,R1-4; comentário interno,Não,Texto,Médio,Baixo,Concluído,Expressão near real-time removida por ausência de benchmark temporal reproduzível.,Arquivo LaTeX,Desempenho só é reivindicado quando medido.,"Boa correção preventiva.
WCNPS 2026: wcnps.tex."
A42,Baixa,1 - Texto imediato,Metadados/template,"Corrigir placeholders de data, volume/ano, DOI e adaptar o template para o workshop alvo.",Front matter / Template,Revisão interna,Não,Editorial,Médio,Baixo,Concluído,Migração concluída de ieeeaccess para IEEEtran conference usando o template WCNPS 2026; biographies/DOI/history Access removidos.,Arquivo LaTeX/template do workshop,Front matter coerente com a nova submissão.,"Importante antes da versão final.
WCNPS 2026: wcnps.tex; compilação local em 4 páginas."
A43,Média,1 - Texto imediato,Reprodutibilidade,"Documentar configurações essenciais: tolerância, passo inicial/mínimo, redispatch, Q-limits, load scaling e critérios de parada.",Methodology,R1-1; R1-4; R2-C2,Não,Texto,Alto,Médio,Concluído,"Passo mínimo, estratégia de backtracking, redispatch, Q-limits, taps, load scaling e critério de parada documentados.",Arquivo LaTeX,Outro pesquisador consegue reproduzir cada cenário a partir do texto.,"Também ajuda a comparar ANAREDE/Pandapower.
WCNPS 2026: wcnps.tex: Sec. II-A."
A44,Média,4 - Fechamento,Matriz de resposta aos revisores,Manter uma matriz comentário → alteração → evidência → página/linha para preparar a nova submissão e evitar pendências.,Processo de revisão,Todos,Não,Gestão,Alto,Baixo,Concluído,Mapa de revisores atualizado com status e evidências da versão WCNPS.,Planilha de controle,"Todos os comentários têm ação, evidência e status.","Esta própria planilha funciona como base.
WCNPS 2026: Aba Mapa Revisores desta planilha."
